,date,agenda,speaker,party,speech_id,sentences,split,list_tokenized,ANGER,DISGUST,FEAR,GUILT,JOY,SADNESS,SHAME
1879862,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000001,What steps her Department is taking to support households transitioning from legacy benefits to universal credit.,"['What', 'steps', 'her', 'Department', 'is', 'taking', 'to', 'support', 'households', 'transitioning', 'from', 'legacy', 'benefits', 'to', 'universal', 'credit.']","[107, 1411, 26, 2382, 66, 450, 4, 937, 32, 4]",0.15109807,0.22411191,0.11420437,0.118338056,0.02137656,0.089788854,0.28108218
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"The purpose of universal credit is to replace an outdated benefits system, ensuring that people are better off in work and that support is targeted to the most vulnerable.","['The', 'purpose', 'of', 'universal', 'credit', 'is', 'to', 'replace', 'an', 'outdated', 'benefits', 'system,', 'ensuring', 'that', 'people', 'are', 'better', 'off', 'in', 'work', 'and', 'that', 'support', 'is', 'targeted', 'to', 'the', 'most', 'vulnerable.']","[3, 1682, 9, 66, 4, 2594, 24, 9024, 13, 61, 180, 513, 179, 10, 114, 6, 13, 937, 66, 4, 3, 363]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We recognise the challenge that this cultural shift represents.,"['We', 'recognise', 'the', 'challenge', 'that', 'this', 'cultural', 'shift', 'represents.']","[28, 3, 3243, 13, 31, 4681, 8104]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.,"['We', 'currently', 'provide', 'advance', 'payments', 'and', 'a', 'transitional', 'housing', 'payment', 'to', 'claimants', 'coming', 'on', 'to', 'universal', 'credit.']","[28, 4518, 6910, 2466, 6, 2, 2984, 5911, 4, 264, 19, 4]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.,"['We', 'currently', 'provide', 'advance', 'payments', 'and', 'a', 'transitional', 'housing', 'payment', 'to', 'claimants', 'coming', 'on', 'to', 'universal', 'credit.']","[28, 4518, 6910, 2466, 6, 2, 2984, 5911, 4, 264, 19, 4]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.,"['We', 'currently', 'provide', 'advance', 'payments', 'and', 'a', 'transitional', 'housing', 'payment', 'to', 'claimants', 'coming', 'on', 'to', 'universal', 'credit.']","[28, 4518, 6910, 2466, 6, 2, 2984, 5911, 4, 264, 19, 4]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,We currently provide advance payments and a transitional housing payment to claimants coming on to universal credit.,"['We', 'currently', 'provide', 'advance', 'payments', 'and', 'a', 'transitional', 'housing', 'payment', 'to', 'claimants', 'coming', 'on', 'to', 'universal', 'credit.']","[28, 4518, 6910, 2466, 6, 2, 2984, 5911, 4, 264, 19, 4]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.","['Furthermore,', 'we', 'will', 'spend', 'over', 'Â£3', 'billion', 'on', 'transitional', 'protections', 'for', '1.1', 'million', 'households', 'as', 'part', 'of', 'our', 'managed', 'migration', 'regulations.']","[28, 449, 966, 163, 19, 15, 29, 333, 9, 68, 1305]",0.078777775,0.69539696,0.010000469,0.0061776517,0.057332512,0.0381967,0.11411798
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.","['Furthermore,', 'we', 'will', 'spend', 'over', 'Â£3', 'billion', 'on', 'transitional', 'protections', 'for', '1.1', 'million', 'households', 'as', 'part', 'of', 'our', 'managed', 'migration', 'regulations.']","[28, 449, 966, 163, 19, 15, 29, 333, 9, 68, 1305]",0.04581651,0.86352515,0.021702757,0.0016074996,0.0068650744,0.030952806,0.029530197
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.","['Furthermore,', 'we', 'will', 'spend', 'over', 'Â£3', 'billion', 'on', 'transitional', 'protections', 'for', '1.1', 'million', 'households', 'as', 'part', 'of', 'our', 'managed', 'migration', 'regulations.']","[28, 449, 966, 163, 19, 15, 29, 333, 9, 68, 1305]",0.044951808,0.91683716,0.025125349,0.0004956192,0.0008164069,0.00881163,0.002961941
1879863,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Amber Rudd,Con,20190107000002,"Furthermore, we will spend over Â£3 billion on transitional protections for 1.1 million households as part of our managed migration regulations.","['Furthermore,', 'we', 'will', 'spend', 'over', 'Â£3', 'billion', 'on', 'transitional', 'protections', 'for', '1.1', 'million', 'households', 'as', 'part', 'of', 'our', 'managed', 'migration', 'regulations.']","[28, 449, 966, 163, 19, 15, 29, 333, 9, 68, 1305]",0.0688782,0.12250862,0.01168515,0.001144679,0.5414644,0.24634172,0.00797718
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I thank the Secretary of State for her answer.,"['I', 'thank', 'the', 'Secretary', 'of', 'State', 'for', 'her', 'answer.']","[1, 1948, 3, 2156, 9, 1152, 15, 26]",0.048695136,0.03872813,0.007925584,0.53504485,0.0032508282,0.21023704,0.15611847
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I thank the Secretary of State for her answer.,"['I', 'thank', 'the', 'Secretary', 'of', 'State', 'for', 'her', 'answer.']","[1, 1948, 3, 2156, 9, 1152, 15, 26]",0.020095946,0.356743,0.12264856,0.01253141,0.019133667,0.00983711,0.4590103
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I thank the Secretary of State for her answer.,"['I', 'thank', 'the', 'Secretary', 'of', 'State', 'for', 'her', 'answer.']","[1, 1948, 3, 2156, 9, 1152, 15, 26]",0.006323679,0.00065287796,0.0063413163,0.37776476,0.00015336154,0.0018014226,0.6069626
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I thank the Secretary of State for her answer.,"['I', 'thank', 'the', 'Secretary', 'of', 'State', 'for', 'her', 'answer.']","[1, 1948, 3, 2156, 9, 1152, 15, 26]",0.007934654,0.10312131,0.83475786,0.024311252,0.0002848722,0.0071212077,0.022468863
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I thank the Secretary of State for her answer.,"['I', 'thank', 'the', 'Secretary', 'of', 'State', 'for', 'her', 'answer.']","[1, 1948, 3, 2156, 9, 1152, 15, 26]",0.9659315,0.023721332,0.00040948874,0.0022695232,1.2983005e-05,0.0067738784,0.000881252
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.,"['I', 'welcome', 'reports', 'that', 'she', 'is', 'considering', 'scaling', 'back', 'the', 'roll-out', 'of', 'the', 'migration', 'to', 'universal', 'credit', 'for', 'those', 'on', 'legacy', 'benefits', 'while', 'problems', 'with', 'the', 'system', 'are', 'identified', 'and', 'resolved.']","[1, 3993, 1964, 13, 25, 66, 3087, 81, 3, 9, 3, 4, 15, 672, 19, 95, 426, 16, 3, 1711, 180, 6]",0.048695136,0.03872813,0.007925584,0.53504485,0.0032508282,0.21023704,0.15611847
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.,"['I', 'welcome', 'reports', 'that', 'she', 'is', 'considering', 'scaling', 'back', 'the', 'roll-out', 'of', 'the', 'migration', 'to', 'universal', 'credit', 'for', 'those', 'on', 'legacy', 'benefits', 'while', 'problems', 'with', 'the', 'system', 'are', 'identified', 'and', 'resolved.']","[1, 3993, 1964, 13, 25, 66, 3087, 81, 3, 9, 3, 4, 15, 672, 19, 95, 426, 16, 3, 1711, 180, 6]",0.020095946,0.356743,0.12264856,0.01253141,0.019133667,0.00983711,0.4590103
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.,"['I', 'welcome', 'reports', 'that', 'she', 'is', 'considering', 'scaling', 'back', 'the', 'roll-out', 'of', 'the', 'migration', 'to', 'universal', 'credit', 'for', 'those', 'on', 'legacy', 'benefits', 'while', 'problems', 'with', 'the', 'system', 'are', 'identified', 'and', 'resolved.']","[1, 3993, 1964, 13, 25, 66, 3087, 81, 3, 9, 3, 4, 15, 672, 19, 95, 426, 16, 3, 1711, 180, 6]",0.006323679,0.00065287796,0.0063413163,0.37776476,0.00015336154,0.0018014226,0.6069626
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.,"['I', 'welcome', 'reports', 'that', 'she', 'is', 'considering', 'scaling', 'back', 'the', 'roll-out', 'of', 'the', 'migration', 'to', 'universal', 'credit', 'for', 'those', 'on', 'legacy', 'benefits', 'while', 'problems', 'with', 'the', 'system', 'are', 'identified', 'and', 'resolved.']","[1, 3993, 1964, 13, 25, 66, 3087, 81, 3, 9, 3, 4, 15, 672, 19, 95, 426, 16, 3, 1711, 180, 6]",0.007934654,0.10312131,0.83475786,0.024311252,0.0002848722,0.0071212077,0.022468863
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,I welcome reports that she is considering scaling back the roll-out of the migration to universal credit for those on legacy benefits while problems with the system are identified and resolved.,"['I', 'welcome', 'reports', 'that', 'she', 'is', 'considering', 'scaling', 'back', 'the', 'roll-out', 'of', 'the', 'migration', 'to', 'universal', 'credit', 'for', 'those', 'on', 'legacy', 'benefits', 'while', 'problems', 'with', 'the', 'system', 'are', 'identified', 'and', 'resolved.']","[1, 3993, 1964, 13, 25, 66, 3087, 81, 3, 9, 3, 4, 15, 672, 19, 95, 426, 16, 3, 1711, 180, 6]",0.9659315,0.023721332,0.00040948874,0.0022695232,1.2983005e-05,0.0067738784,0.000881252
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks.","['However,', 'we', 'have', 'seen', 'from', 'the', 'WASPI-Women', 'Against', 'State', 'Pension', 'Inequality-scandal', 'that', 'a', 'letter', 'from', 'the', 'Department', 'is', 'often', 'not', 'enough', 'to', 'stop', 'even', 'those', 'who', 'are', 'not', 'vulnerable', 'from', 'falling', 'through', 'the', 'cracks.']","[28, 45, 277, 32, 3, 282, 1152, 13, 2, 255, 32, 3, 2382, 66, 316, 14, 299, 4, 367, 199, 672, 41, 180, 14, 5947, 32, 970, 216, 3]",0.048695136,0.03872813,0.007925584,0.53504485,0.0032508282,0.21023704,0.15611847
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks.","['However,', 'we', 'have', 'seen', 'from', 'the', 'WASPI-Women', 'Against', 'State', 'Pension', 'Inequality-scandal', 'that', 'a', 'letter', 'from', 'the', 'Department', 'is', 'often', 'not', 'enough', 'to', 'stop', 'even', 'those', 'who', 'are', 'not', 'vulnerable', 'from', 'falling', 'through', 'the', 'cracks.']","[28, 45, 277, 32, 3, 282, 1152, 13, 2, 255, 32, 3, 2382, 66, 316, 14, 299, 4, 367, 199, 672, 41, 180, 14, 5947, 32, 970, 216, 3]",0.020095946,0.356743,0.12264856,0.01253141,0.019133667,0.00983711,0.4590103
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks.","['However,', 'we', 'have', 'seen', 'from', 'the', 'WASPI-Women', 'Against', 'State', 'Pension', 'Inequality-scandal', 'that', 'a', 'letter', 'from', 'the', 'Department', 'is', 'often', 'not', 'enough', 'to', 'stop', 'even', 'those', 'who', 'are', 'not', 'vulnerable', 'from', 'falling', 'through', 'the', 'cracks.']","[28, 45, 277, 32, 3, 282, 1152, 13, 2, 255, 32, 3, 2382, 66, 316, 14, 299, 4, 367, 199, 672, 41, 180, 14, 5947, 32, 970, 216, 3]",0.006323679,0.00065287796,0.0063413163,0.37776476,0.00015336154,0.0018014226,0.6069626
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks.","['However,', 'we', 'have', 'seen', 'from', 'the', 'WASPI-Women', 'Against', 'State', 'Pension', 'Inequality-scandal', 'that', 'a', 'letter', 'from', 'the', 'Department', 'is', 'often', 'not', 'enough', 'to', 'stop', 'even', 'those', 'who', 'are', 'not', 'vulnerable', 'from', 'falling', 'through', 'the', 'cracks.']","[28, 45, 277, 32, 3, 282, 1152, 13, 2, 255, 32, 3, 2382, 66, 316, 14, 299, 4, 367, 199, 672, 41, 180, 14, 5947, 32, 970, 216, 3]",0.007934654,0.10312131,0.83475786,0.024311252,0.0002848722,0.0071212077,0.022468863
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"However, we have seen from the WASPI-Women Against State Pension Inequality-scandal that a letter from the Department is often not enough to stop even those who are not vulnerable from falling through the cracks.","['However,', 'we', 'have', 'seen', 'from', 'the', 'WASPI-Women', 'Against', 'State', 'Pension', 'Inequality-scandal', 'that', 'a', 'letter', 'from', 'the', 'Department', 'is', 'often', 'not', 'enough', 'to', 'stop', 'even', 'those', 'who', 'are', 'not', 'vulnerable', 'from', 'falling', 'through', 'the', 'cracks.']","[28, 45, 277, 32, 3, 282, 1152, 13, 2, 255, 32, 3, 2382, 66, 316, 14, 299, 4, 367, 199, 672, 41, 180, 14, 5947, 32, 970, 216, 3]",0.9659315,0.023721332,0.00040948874,0.0022695232,1.2983005e-05,0.0067738784,0.000881252
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?,"['Why', 'has', 'the', 'Secretary', 'of', 'State', 'rejected', 'the', 'recommendation', 'from', 'her', 'own', 'social', 'security', 'advisory', 'committee', 'that', 'legacy', 'benefits', 'claimants', 'should', 'be', 'transferred', 'to', 'universal', 'credit', 'automatically?']","[494, 300, 3, 2156, 9, 1152, 1367, 3, 4582, 32, 26, 251, 667, 1588, 2892, 13, 247, 59, 3080, 4]",0.048695136,0.03872813,0.007925584,0.53504485,0.0032508282,0.21023704,0.15611847
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?,"['Why', 'has', 'the', 'Secretary', 'of', 'State', 'rejected', 'the', 'recommendation', 'from', 'her', 'own', 'social', 'security', 'advisory', 'committee', 'that', 'legacy', 'benefits', 'claimants', 'should', 'be', 'transferred', 'to', 'universal', 'credit', 'automatically?']","[494, 300, 3, 2156, 9, 1152, 1367, 3, 4582, 32, 26, 251, 667, 1588, 2892, 13, 247, 59, 3080, 4]",0.020095946,0.356743,0.12264856,0.01253141,0.019133667,0.00983711,0.4590103
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?,"['Why', 'has', 'the', 'Secretary', 'of', 'State', 'rejected', 'the', 'recommendation', 'from', 'her', 'own', 'social', 'security', 'advisory', 'committee', 'that', 'legacy', 'benefits', 'claimants', 'should', 'be', 'transferred', 'to', 'universal', 'credit', 'automatically?']","[494, 300, 3, 2156, 9, 1152, 1367, 3, 4582, 32, 26, 251, 667, 1588, 2892, 13, 247, 59, 3080, 4]",0.006323679,0.00065287796,0.0063413163,0.37776476,0.00015336154,0.0018014226,0.6069626
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?,"['Why', 'has', 'the', 'Secretary', 'of', 'State', 'rejected', 'the', 'recommendation', 'from', 'her', 'own', 'social', 'security', 'advisory', 'committee', 'that', 'legacy', 'benefits', 'claimants', 'should', 'be', 'transferred', 'to', 'universal', 'credit', 'automatically?']","[494, 300, 3, 2156, 9, 1152, 1367, 3, 4582, 32, 26, 251, 667, 1588, 2892, 13, 247, 59, 3080, 4]",0.007934654,0.10312131,0.83475786,0.024311252,0.0002848722,0.0071212077,0.022468863
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,Why has the Secretary of State rejected the recommendation from her own social security advisory committee that legacy benefits claimants should be transferred to universal credit automatically?,"['Why', 'has', 'the', 'Secretary', 'of', 'State', 'rejected', 'the', 'recommendation', 'from', 'her', 'own', 'social', 'security', 'advisory', 'committee', 'that', 'legacy', 'benefits', 'claimants', 'should', 'be', 'transferred', 'to', 'universal', 'credit', 'automatically?']","[494, 300, 3, 2156, 9, 1152, 1367, 3, 4582, 32, 26, 251, 667, 1588, 2892, 13, 247, 59, 3080, 4]",0.9659315,0.023721332,0.00040948874,0.0022695232,1.2983005e-05,0.0067738784,0.000881252
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?","['As', 'a', 'minimum,', 'will', 'she', 'guarantee', 'that', 'nobody', 'has', 'their', 'legacy', 'benefits', 'stopped', 'without', 'an', 'application?']","[29, 2, 449, 25, 13, 681, 300, 215, 484, 131, 24]",0.048695136,0.03872813,0.007925584,0.53504485,0.0032508282,0.21023704,0.15611847
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?","['As', 'a', 'minimum,', 'will', 'she', 'guarantee', 'that', 'nobody', 'has', 'their', 'legacy', 'benefits', 'stopped', 'without', 'an', 'application?']","[29, 2, 449, 25, 13, 681, 300, 215, 484, 131, 24]",0.020095946,0.356743,0.12264856,0.01253141,0.019133667,0.00983711,0.4590103
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?","['As', 'a', 'minimum,', 'will', 'she', 'guarantee', 'that', 'nobody', 'has', 'their', 'legacy', 'benefits', 'stopped', 'without', 'an', 'application?']","[29, 2, 449, 25, 13, 681, 300, 215, 484, 131, 24]",0.006323679,0.00065287796,0.0063413163,0.37776476,0.00015336154,0.0018014226,0.6069626
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?","['As', 'a', 'minimum,', 'will', 'she', 'guarantee', 'that', 'nobody', 'has', 'their', 'legacy', 'benefits', 'stopped', 'without', 'an', 'application?']","[29, 2, 449, 25, 13, 681, 300, 215, 484, 131, 24]",0.007934654,0.10312131,0.83475786,0.024311252,0.0002848722,0.0071212077,0.022468863
1879864,2019-01-07,Universal Credit: Transition [Oral Answers to Questions > Work and Pensions],Christine Jardine,LibDem,20190107000003,"As a minimum, will she guarantee that nobody has their legacy benefits stopped without an application?","['As', 'a', 'minimum,', 'will', 'she', 'guarantee', 'that', 'nobody', 'has', 'their', 'legacy', 'benefits', 'stopped', 'without', 'an', 'application?']","[29, 2, 449, 25, 13, 681, 300, 215, 484, 131, 24]",0.9659315,0.023721332,0.00040948874,0.0022695232,1.2983005e-05,0.0067738784,0.000881252
